,Location_of_Death
"Union Pacific rail yard at 1115 S. Stanton St., El Paso, El Paso County, Texas, United States",1
"Unspecified location off the coast of Zarzis, Tunisia - boat departed from Libya a couple of days before.",1
"Unspecified location, Bosnia and Herzegovina (en route from Greece to Italy)",1
"Off Chebba, Mahdia, Tunisia",1
"Off Ghedhabna, Mahdia, Tunisia",1
"On board of a boat, 10km south of Gran Canaria, Spain",1
"Una River in Novi Grad municipality, Bosnia and Herzegovina",1
"Close to the Provisional Camp (PC) Lipa, Bosnia and Herezegovina",1
"Remains washed ashore 25 kilometers from the DatÃ§a, MuÄla disctrict, TÃ¼rkiye - Embarked from TÃ¼rkiye 15 days before, trying to reach Rhodes, Greece",1
"Remains washed ashore at Zuwara fishing port, Libya",1
"Remains washed ashore at Janzour, Libya",1
"Beach Sidi Abdelkader (Achaacha), Mostaganem, Algeria",1
"Off the coasts of El Awabed, Sfax, Tunisia,Off the coasts of El Awabed, Sfax, Tunisia - embarkation from Libya,Washed ashore at Sidi Mansour port, Sfax, Tunisia",1
"Kopla River, 800 meters from Grgelj, Slovenia",1
"Off Sidi Mansour 25km from Sfax, Tunisia",1
"Unspecified location in Mediterranean off Mostaganem, Algeria - embarkation from Plage Ouillis",1
"Remains washed up Plage Bousfer, Oran, Algeria",1
"Off Plage Ain Hamadi, Sidi Abderrahmane, Chlef, Algeria",1
"5 nautical miles off Lampedusa - Embarkation on 28 June from Sfax, Tunisia,",1
"Boat rescued by fishing boat 'Maamoura 2' 5 nautical miles off Boujdour, Western Sahara - embarkation from Western Sahara",1
"Muradiye District, Van Province, TÃ¼rkiye",1
"Remains washed ashore at Zuwara, Abubasla, Libya",1
"After being rescued off the coast of the Canary Islands, Spain - embarkation on 17 June, 60km south of Dakhla, Western Sahara",1
"Remains washed ashore at Alzawyia, Mesfat area, Libya",1
"Remains washed ashore at Alzawyia, Alharsha, Libya",1
"Remains washed ashore at Alzawyia, Alsabryea, Libya",1
"Rio Bravo close to Las Adjuntas Ranch, Piedras Negras, Coahuila, Mexico",1
"Around 250km southwest of Tamranrasset, Algeria - The truck took a detour to avoid a checkpoint north of In Guezzam and it broke down in the middle of the desert ",1
"On highway #2, Guerrero, Coahuila, Mexico",1
"Boat found adrift 42km south of Nouadhibou, Mauritania, two weeks after departing from Blaya, port of Laayoune, Western Sahara",1
"Remains washed ashore at an unspecified location close to Tarfaya in Morocco,Unspecified location off the coast of Tarfaya, Morocco",1
"200km off the coast of Western Sahara, having drifted off to about 650km south of the Canary Islands - boat had departed on 28 July from Dakhla with 46POB, was adrift for 14 days. Survivors disembarked in Las Palmas, Canary Islands, Spain",1
"Rio Bravo, by ""El Patinadero"", Nuevo Laredo, Tamaulipas, Mexico",1
"Off the coast Of Memory Rock, Grand Bahama, Bahamas",1
"Rio Bravo, near Santa Cecilia neighborhood, Nuevo Laredo, Tamaulipas, Mexico",1
"Off the coast of N'Tireft, Dakhla, Western Sahara",1
"Turquesa River, Darien Gap, EmberÃ¡ Wounaan Comarca, Panama",1
"On board of a boat, 64km south of Gran Canaria, Spain",1
"Off the coast of Ãrzola, Lanzarote, Spain - boat departed from Tan-Tan, Morocco",1
"13 nautical miles off Dunkirk, France",1
"20 meters from the border wall in El Paso, El Paso County, Texas, after having entered the United States across the Rio Grande",1
"Remains washed ashore at Alzawyia, Libya",1
"Rio Bravo at the International Bridge 1, Piedras Negras, Coahuila, Mexico",1
"Unspecified location along the Rio Bravo, Mexico",1
"Remains found off the coast of Ceuta, Spain",1
"650km south of the Canary Islands, Spain - departure from Dakhla, Western Sahara on 28 July",1
"Ejido La Mancha close to Viesca, Coahuila de Zaragoza, Mexico",1
"On board a boat off N'Tireft village, Dakhla, Western Sahara - embarkation from Dakhla a day earlier",1
"Off Karaa, Boujdour, Morocco - departure from unknown neighbouring Sub-Saharan country",1
"Body found at sea 10 miles away from Valencia, Spain",1
"Bodies recovered heavily decomposed in various unspecified locations in the MeriÃ§ (Evros) River in UzunkÃ¶prÃ¼ district, TÃ¼rkiye. Likely linked to decrease in water levels.  ",1
"Washed up the coasts of Laouata, stretching from El Amra and Jebiniana, Sfax until MelloulÃ¨che, Mahdia",1
"Railroad tracks near 32 CompaÃ±Ã­a de la Guardia Nacional, Municipality of Jimenez, Chihuahua, Mexico",1
"JuÃ¡rez avenue (1km away from the border), Mexicali, Baja California, Mexico",1
"Train tracks in front of the Nueva Americana nighborhood, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo, near Juarez-Lincoln Internacional Bridge, Nuevo Laredo, Tamaulipas, Mexico",1
"Unspecified location on the outskirts of Ciudad Juarez, Chihuahua, Mexico",1
"Ciudad AcuÃ±a, Coahuila, Mexico",1
"Rio Bravo, Sabinitos, Miguel Aleman City, Tamaulipas, Mexico",1
"Unspecified location close to the 2D federal highway (going from Mexicali to Tijuana), Baja California, Mexico",1
"Remains washed ashore at Addafineya shore, Misrata, Libya",1
"Rio Bravo at Colonia Morelos, Piedras Negras, Coahuila, Mexico",1
"Remains found in Pruzhany near the Polish border, Belarus",1
"Boat found 500km southwest of El Hierro, Canary Islands, Spain - 55 people had departed from Dakhla, Western Sahara 12 days earlier. 24 lost their lives during the journey, their remains were thrown overboard. The boat was found with 26 survivors and the remains of four people (a man, two women and a girl) inside. Another woman, who was pregnant, died upon arriving to Port of ArguineguÃ­n.",1
"Off the coast of Sarchal, Ceuta, Spain",1
"Bam, Kerman, Iran",1
Unspecified location in the woods in Poland near border with Belarus,1
"Off the coast of Ras Ijder, Libya ",1
"Near Hrodna, Belarus  (near border with Poland)",1
"Gaherre, Djibouti",1
"Remains washed ashore Nabak, 16 KM North Dakhla, Western Sahara",1
"Unspecified location approximately 500km south of Gran Canaria - embarkation from Dakhla, Western Sahara on 3 November",1
"30 nm. southwestern port of Paleochora, Crete, Greece",1
"216km south of Gran Canaria, Spain",1
"Unspecified location in the English Channel off the coast of Calais and Dunkirk, France - embarkation from Loon-Plage near Dunkir, France",1
"Rio Bravo, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Unspecified location in the Aegean Sea off Didim, TÃ¼rkiye",1
"Bernardo Norzagaray Av., Ciudad JuÃ¡rez, Chihuahua, Mexico",1
"Train tracks near Sombor, West BaÄka district, Vojvodina province, Serbia",1
"Unspecified location off the coast of Laayoune, Western Sahara - a man died during the journey and a woman fell overboard as the boat was intercepted by the Moroccan Navy",1
"South of Gran Canaria, Canary Islands, Spain",1
"On board a boat rescued southeast of Fuerteventura, Canary Islands, Spain. The boat had departed from Cap Boujdour, Western Sahara, three days earlier",1
"Private yard in Å id, Srem District, Vojvodina province, Serbia",1
"Remains found near the TvereÄius-Vidzy border post, in Braslav District, Vitebsk Oblast, Belarus, near border with Lithuania",1
"Remains found in a forest near the village of Ivache, Shchuchin District, Grodno Oblast, Belarus - near border with Lithuania",1
"Remains found under Roverino overpass, Ventimiglia, Liguria, Italy - near border with France",1
"Remains found on Playa BenÃ­tez, Ceuta, Spain - had gone missing a week before around BenzÃº while attemoting the crossing with two friends who were intercepted by Moroccan authorities",1
"Remains found 19.3 km off the coast of Ceuta, Spain en route to Cadiz",1
In North Macedonia at the 'green border' with Serbia,1
"Remains recovered near El Sarchal, Ceuta, Spain",1
"Remains washed ashore the beach of Sayada, Monastir, Tunisia - embarked from Tabulbah, Monastir on 2 Jun",1
"Train tracks between Dunkirk and Calais, France",1
"Near the area known as Come Gallina, Darien Gap, Panama",1
"Off the coast of Playa Caribe, Los Guayacanes, San Pedro de Macoris, Guayacanes, Dominican Republic",1
"Remains washed ashore on coast of Adra, Almeria, Spain. Reportedly they attempted to reach the coast by swimming.",1
"Colonia Granjas del Valle, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Remains retreived on Surman Beach, 12km west of Alzawiya",1
"Aegean Sea, off Bodrum, TÃ¼rkiye",1
"By the estuary of Oued Cherrat, Skhirat, Morocco",1
Unspecified location in the English Channel between France and England after departure from Calais,1
"Comanche Maveric Ranch,Eagle Pass, Texas",1
"Near Colonia Benito Juarez, Ciudad AcuÃ±a,Coahuila de Zaragoza, Mexico",1
"In the Bug river at the Poland-Belarus border. Body recovered in Lublin region near Woroblin, Poland",1
"Comarca Guna Yala TapÃ³n del Darien, Panama-Colombia transborder area",1
"800 meters from the Santa Teresa International Bridge, Ciudad Juarez, Chihuahua,Mexico",1
"Gorge below San Luigi bridge, Ventimiglia, Italy at border with France",1
"Highway exit toward KnjaÅ¾evcu in Pirot, Serbia",1
"Temporary camp in Belarus, near border with Poland at KuÅºnica BiaÅostocka",1
"Remains found in the Svislach river, Berestovitsa district, Belarus near border with Poland",1
"Woods near WÃ³lka Terechowska, Poland",1
"Boat found approx. 40 miles south of Gran Canaria, Spain with 7 bodies on board. One man died after rescue of presumed exposure en route to the hospital from the port of Arguineguin ,Boat found approx. 40 miles south of Gran Canaria, Spain with 7 bodies on board. Reportedly boat departed from Dakhla, Western Sahara and had spent at least 6 days at sea.,Boat found approx. 40 miles south of Gran Canaria, Spain; man died of heart attack after rescue in the port of Arguineguin ",1
"Approximately 30 miles off the coast of Zuwara,Libya - Boat rescued at 33*15.4âN 012*19.5âE ",1
"Unspecified location off the coast of Gran Canaria, Spain",1
"Remains recovered at sea in Punta Leona and El Desnarigado-Sarchal, Ceuta, Spain",1
"Remains found onboard a boat off the coast of Fuerteventura, Canary Islands, Spain",1
"English Channel, off the coast of Calais, France",1
"In the Aegean sea by Prasonisi islet, North of Antikythira island, Greece ",1
"Remains washed ashore at Barsis near Tocra, Benghazi, Libya",1
"Off the coast of Punta PiÃ±a, Jurado, ChocÃ³, Colombia - en route to Panama",1
"In the Aegean sea, off the coast of Folegandros, Greece ",1
"Karpuzlu, Edirne, TÃ¼rkiye",1
"Remains recovered near Port of Calais, France",1
"Remains washed ashore at Plage Marck, Pas-de-Calais, France",1
"Fahraj â Zahedan road, Sistan and Baluchestan Province, Iran",1
"Remains washed ashore Albeiz area 50 KM north Dakhla, Western Sahara",1
"11 nautical miles north Cap Carbon, Arzew, Oran, Algeria",1
"Marck, near Calais (Pas-de-Calais), France",1
"In the Aegean sea northwest Paros island, Greece ",1
"Remains washed ashore Mar Chica lake near Corniche Nador, Morocco - most probably will crossing to Melilla",1
"Approximately 12km off the coast of Sabratha, Libya (exact location: 33.01444, 12.549) - embarkation form Sabratha on 24 Dec 2200hrs",1
"Unspecified location off the coast of Qaser Al Khiar, bodies found washed ashore Alauas area, Libya - embarkation from Garabulli (Castelverde) on 25 Dec",1
"3 KM off plage du Chlef, Mostaganem, Algeria - embarkation from plage du Chlef on 22 or 23 Dec",1
"Found floating in an unspecified location in the Atlantic ocean close to the port of Terfaya, Morocco",1
"Unspecified location off the coast of Tangier, Morocco",1
"Remains washed ashore plage Fnideq, Morocco - likely swimming attempt to Ceuta",1
"Remains washed ashore plage municipale, Tangier, Morocco",1
"Remains washed ashore Afouzer, El Aouana, Jijel, Algeria",1
"Plage Awayna Daiab, Bir Anzerane, near Cape Boujdour, Western Sahara",1
"Skeletal remains found in the beach of Plage Chalite, El Aouana, Jijel, Algeria",1
"Rio Grande/RÃ­o Bravo, near Ciudad AcuÃ±a, Coahuila, Mexico",1
"Remains washed ashore one of the beaches of Beni Chiker, Nador, Morocco - most probably while crossing to Melilla",1
"Northeast of Kos, Greece",1
"Off the coast of Santa Cruz del Norte, Mayabeque Province, Cuba",1
"Bravo River, near Rodhe Channel,Ejido Santa Ana, Reynosa, Tamaulipas, Mexico",1
"Celedonio Beach, Miches, SamanÃ¡ Bay, Dominican Republic",1
"KM159 of the Santo Domingo highway, Piedras Negras, Coahuila, Mexico",1
"Remains washed ashore plage de Bsabis, Sajanan, Bizerte, Tunisia",1
"Remains washed ashore plage Kef Abbed, Sajanan, Bizerte, Tunisia",1
"Hospital in HajnÃ³wka, Poland after crossing the border with Belarus to Narewka on foot",1
"In Dragonja valley area in southwest Slovenia, near border with Croatia",1
"Forest near OlchÃ³wka, Narewka, Poland, near border with Belarus",1
"Korana River in ToÄak, Croatia",1
"Private hospital in Alanya, TÃ¼rkiye after shipwreck en route to Cyprus",1
"Rio Grande, near  ""Isla del Mudo"", Santa Maria sector, Piedras Negras, Coahuila, Mexico",1
"Unspecified location in Edirne Central district, TÃ¼rkiye (close to the border with Greece)",1
"Near MÃ³rahalom, Hungary",1
"20 KM North Ra's Ajdir (on border), Ben Gardane, Tunisia - embarkation from Abu Kammash, Libya on night between 14-15 Dec",1
"Body washed ashore close to Sarchal beach, Ceuta, Spain",1
"KM115 of Federal Highway 2, between Piedras Negras and Nuevo Laredo, near Guerrero, Coahuila, Mexico",1
"Off Djerba, Medenine, Tunisia - embarkation from Ras R'mal, Djerba, Tunisia",1
"Southeast of Gran Canaria, Canary Islands, Spain",1
"Approximately 15km off the coast of Sabratha, Libya (exact location: 32.92694, 12.55682) - embarkation form Sabratha on 16 Dec",1
"Unspecified location off the cost of Sabratha, Libya",1
"Undetermined location in Piedras Negras, Coahuila, Mexico",1
Unspecified location about 18 miles off the coast of Lampedusa,1
"Remains found on Plage de Wissant, Calais, France",1
"Near Marcel Doret Industrial Zone, Calais, France",1
"Boat found 35km off the Senegal River's mouth, near Saint-Louis, Senegal",1
"Unspecified location in Poland, 500 m from the border with Belarus",1
"Undetermined location in the desert, Sonora, Mexico",1
"Kilometer 84 on a dirt road leading to La Candelaria Ranch, Guerrero, Coahuila, Mexico",1
"Railroad tracks, near the town of Aura in the municipality of Progreso, Coahuila, Mexico",1
"Remains found in KuÅºnica BiaÅostocka, a village in SokÃ³Åka County, Podlaskie Voivodeship, in north-eastern Poland, close to the border with Belarus",1
"AugustÃ³w Canal, Hrodna Region, Belarus - at the border with Poland",1
"Close to Ventimiglia, Imperia, Italy",1
"Remains recovered north of Zuwara, Libya - embarkation from Sabratha on 19 Sep",1
"Boat capsized and remains retreived off Zemmouri, BoumerdÃ¨s, Algeria - embarkation on morning of 17 Sep from ""shawisha"" beach, Zemmouri",1
"Remains washed ashore at Garrucha, Almeria, Spain,Remains washed ashore at Playa de los muertos, Carboneras, Almeria, Spain,Remains washed ashore at Playa del LacÃ³n, Carboneras, AlmerÃ­a, Spain,Remains washed ashore at Playa el Algarrobico, Carboneras, Almeria, Spain,Remains washed ashore at playa Indalo, MojÃ¡car, Almeria, Spain,Remains washed ashore at Playa MÃ¡cenas, MojÃ¡car, Almeria, Spain,Remains washed ashore at Puerto del Rey, Vera, Almeria, Spain",1
"At the Cruz Verde clinic in Cadereyta JimÃ©nez, Nuevo LeÃ³n, MÃ©xico",1
"Unknown location in the Kufra desert near Sudanese-Libyan border, Libya (date of death unknown)",1
"El Molcajete Colony, Morelos, Piedras Negras, Coahuila, Mexico",1
"On the coast of Carboneras, AlmerÃ­a, Spain",1
"5km off of AguineguÃ­n, Gran Canaria, Spain",1
"Marck, near Calais, France",1
"Majdan region, Serbia, near border with Hungary",1
"Unspecified location in the Aegean Sea, after being pushed back from Samos, Greece",1
"Remains were found on board the boat 25KM North of Dakhla, Western Sahara - embarkation from Dakhla a week earlier after waiting for 20 days in the Dakhla desert ",1
"Off the coast of Zawiyah - embarkation from Alharsha beach on 2 Oct around 3  a.m.,Remains recovered off the coast of Zawiyah - embarkation from Alharsha beach on 2 Oct around 3  a.m.",1
"Rio Bravo, Morelos neighborhood, Piedras Negras, Coahuila, Mexico",1
"In the Kastil sea, Djerba Midoun, Medenine, Tunisia",1
"Near the BlaÅ¾uj Railway Station (close to Sarajevo), Bosnia and Herzegovina",1
"Rio Bravo at El Cortijo La Herradura, Nuevo Laredo, Tamaulipas, Mexico",1
"Off the coast of Kalamata, Greece. After departure from Tobruk, Libya en route to Italy",1
"Remains washed ashore at Barsis, Benghazi, Libya",1
"Remains washed ashore the coasts of Tarfaya, Morocco",1
"Remains washed ashore Plage Almina, Fnideq, Morocco",1
"Remains found one mile off the coast of Ceuta, in waters of the BahÃ­a Norte, Ceuta, Spain,Remains washed ashore Plage Riffiine, Fnideq, Morocco",1
"Remains found near Playa Juan XXIII, BahÃ­a Sur de Ceuta, Spain",1
"Beneath water vault sewers in Plage Calabonita, Hoceima, Morocco",1
"Boat found 10 miles off Faro de la Entallada, Fuerteventura, Canary Islands, Spain - boat departed from Tan-Tan on 27 August",1
"Evros/MeriÃ§ river, near EskikÃ¶y, UzunkÃ¶prÃ¼, Edirne, TÃ¼rkiye",1
"Evros/MeriÃ§ river, UzunkÃ¶prÃ¼ district, Edirne, TÃ¼rkiye",1
"Unspecified location in the Mediterranean - embarkation from Mostaganem, Algeria",1
"Near Los Cocoteros beach, Lanzarote, Spain",1
"Remains found onboard a Kayak on the coast of Achaacha, Mostaganem",1
"Passed away at TRC Subotica, North BaÄka District, Serbia from injuries after presumably being beaten while attempting to cross the border into Hungary",1
"GoriÅ¡nica, Slovenia - close to the border with Croatia",1
"Drowned while trying to swim across the breakwater at Tarajal, Ceuta, Spain",1
"Around 75km from Western Sahara - departure from Boujdour, Western Sahara",1
"Remains retrieved 6 nautical miles off Sabratha, Libya",1
"Unspecified location in the Sahara desert on the way from Algeria to Gao, Mali",1
"Remains found in Melilla, Spain - attempted to swim from Nador on 10 Aug",1
"Remains washed at the rocky Fontita area, Arzew, Algeria",1
"Remains retreived from water after boat capsized 25KM Northeast Sfax, Tunisia - embarkation from Awabed, Sfax on night of 7-8 September",1
